block_id,sku,need_by,wave_id
B00685,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B00686,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B00687,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B00688,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B00689,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B00690,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B00691,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B00692,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B00693,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B00694,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B00695,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B00696,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B00697,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B00698,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B00699,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B00700,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B00701,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B00702,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B00703,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B00704,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B00705,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B00706,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B00707,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B00708,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B00709,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B00710,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B00711,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B00712,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B00713,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B00714,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B00715,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B00716,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B00717,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B00718,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B00719,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B00720,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B00721,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B00722,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B00723,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B00724,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B00725,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B00726,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B00727,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B00728,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B00729,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B00730,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B00731,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B00732,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B00733,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B00734,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B00735,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B00736,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B00737,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B00738,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B00739,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B00740,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B00741,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B00742,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B00743,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B00744,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B00745,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B00746,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B00747,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B00748,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B00776,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B00777,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B00778,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B00779,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B00780,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B00781,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B00782,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B00783,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B00784,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B00785,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B00786,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B00787,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B00788,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B00789,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B00790,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B00791,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B00792,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B00793,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B00794,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B00795,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B00796,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B00797,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B00798,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B00799,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B00800,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B00801,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B00802,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B00803,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B00804,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B00805,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B00806,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B00807,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B00808,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B00809,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B00810,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B00811,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B00812,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B00813,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B00814,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B00815,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B00816,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B00817,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B00818,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B00819,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B00820,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B00821,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B00822,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B00823,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B00824,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B00825,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B00826,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B00827,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B00828,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B00829,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B00830,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B00831,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B00832,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B00833,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B00834,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B00835,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B00836,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B00837,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B00838,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B00839,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B00865,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B00866,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B00867,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B00868,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B00869,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B00870,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B00871,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B00872,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B00873,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B00874,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B00875,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B00876,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B00877,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B00878,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B00879,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B00880,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B00881,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B00882,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B00883,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B00884,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B00885,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B00886,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B00887,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B00888,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B00889,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B00890,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B00891,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B00892,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B00893,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B00894,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B00895,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B00896,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B00897,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B00898,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B00899,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B00900,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B00901,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B00902,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B00903,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B00904,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B00905,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B00906,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B00907,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B00908,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B00909,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B00910,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B00911,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B00912,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B00913,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B00914,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B00915,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B00916,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B00917,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B00918,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B00919,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B00920,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B00921,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B00922,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B00923,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B00924,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B00925,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B00926,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B00927,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B00928,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B01311,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B01312,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B01313,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B01314,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B01315,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B01318,1325215813079TUNE3,2026-04-03 00:12:00+05:30,0
B01319,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B01320,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B01321,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B01322,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B01323,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B01324,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B01325,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B01326,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B01327,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B01328,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B01329,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B01330,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B01331,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B01332,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B01333,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B01334,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B01335,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B01336,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B01337,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B01338,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B01339,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B01340,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B01341,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B01342,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B01343,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B01344,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
